id,label
1,1
2,0
3,0
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,0
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,0
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,1
198,0
199,1
